;Thickness_1;Thickness_2;Thickness_3;Thickness_4;Thickness_5;Thickness_6;Thickness_7;Thickness_8;Thickness_9;Material_1;Material_2;Material_3;Material_4;Material_5;Material_6;Material_7;Material_8;Material_9;;Stress_1;Stress_2;Stress_3;Stress_4;Stress_5;Stress_6;Stress_7;Stress_8;Stress_9;Stress_10
Model_81;0.52;0.61;1.30;0.61;0.94;0.75;1.71;0.44;0.82;2;2;2;2;2;1;2;1;2;;93.474;146.353;373.584;48.743;276.302;31.113;153.847;24.461;351.515;2.035
Model_82;0.46;0.58;1.48;0.60;1.22;0.76;1.92;0.47;0.71;1;1;2;1;1;1;1;2;1;;115.957;116.078;339.031;55.528;197.986;33.078;129.472;24.444;327.787;2.279
Model_83;0.47;0.61;1.39;0.51;1.22;1.05;1.78;0.60;0.80;1;2;1;2;2;2;2;2;2;;110.404;129.981;356.453;48.078;195.585;31.155;140.804;21.577;321.101;2.276
Model_84;0.35;0.49;1.26;0.71;1.07;1.05;1.81;0.48;0.74;2;1;1;2;1;2;2;1;1;;146.132;129.644;377.41;55.301;212.556;25.713;137.067;24.28;320.253;2.083
Model_85;0.61;0.54;1.34;0.49;1.05;0.88;1.76;0.39;0.64;2;2;2;2;2;1;2;1;1;;83.856;125.897;366.388;58.247;233.106;32.461;142.046;24.778;375.41;2.071
Model_86;0.53;0.66;1.34;0.58;1.04;0.90;1.92;0.44;0.58;1;1;2;2;1;2;1;1;2;;104.208;120.337;388.469;63.867;248.907;30.242;132.378;24.09;429.404;2.243
Model_87;0.60;0.59;1.59;0.67;1.16;0.98;1.61;0.59;0.58;2;2;1;1;1;1;2;2;2;;88.888;127.307;334.542;67.519;226.409;26.81;155.095;21.715;433.086;2.275
Model_88;0.38;0.55;1.33;0.49;0.91;0.77;1.59;0.39;0.61;2;1;2;1;1;2;2;1;1;;126.395;139.235;361.776;57.966;281.605;33.973;161.418;24.764;409.525;2.24
Model_89;0.36;0.68;1.60;0.49;1.14;0.83;1.85;0.58;0.78;2;1;2;1;1;2;2;1;1;;139.714;126.884;315.732;51.747;236.441;35.631;141.975;22.245;310.09;2.489
Model_90;0.65;0.55;1.47;0.70;1.03;0.81;1.91;0.62;0.73;2;1;2;1;1;1;2;1;1;;77.054;125.178;342.434;57.766;260.274;29.989;136.717;20.391;326.254;2.013
Model_91;0.48;0.68;1.54;0.70;1.25;0.97;1.90;0.45;0.82;2;1;1;2;1;2;1;1;1;;114.416;124.82;337.465;51.734;208.375;29.718;138.156;26.034;313.732;2.375
Model_92;0.65;0.53;1.33;0.50;1.23;0.93;1.59;0.38;0.76;2;2;2;2;2;2;2;2;2;;79.189;133.062;366.594;50.328;184.694;32.439;149.047;26.502;331.476;2.089
Model_93;0.36;0.61;1.36;0.59;0.95;0.97;1.61;0.45;0.66;1;1;1;2;2;1;2;2;2;;133.427;144.169;365.802;57.486;279.219;28.82;165.027;24.761;394.865;2.329
Model_94;0.38;0.55;1.56;0.64;0.98;0.95;1.87;0.55;0.73;2;2;1;2;1;1;2;2;1;;129.021;126.527;311.252;55.094;275.354;28.791;138.44;22.187;319.772;2.199
Model_95;0.50;0.56;1.44;0.75;1.23;0.87;1.71;0.40;0.82;2;1;2;2;1;1;2;1;2;;106.546;128.61;346.946;52.044;197.72;28.275;142.814;27.414;320.289;2.173
Model_96;0.43;0.66;1.46;0.67;1.25;1.03;1.62;0.54;0.59;2;1;2;2;2;2;2;1;2;;125.275;132.912;372.296;65.469;196.531;26.428;156.463;23.719;443.183;2.45
Model_97;0.35;0.57;1.23;0.46;1.28;0.74;1.86;0.42;0.76;1;1;1;1;2;2;2;2;2;;144.297;123.918;385.67;52.313;158.596;35.947;131.696;25.559;312.377;2.302
Model_98;0.53;0.65;1.42;0.46;1.09;1.05;1.90;0.50;0.65;2;2;1;2;1;2;2;1;1;;103.126;122.932;357.791;55.043;236.232;30.643;136.342;22.435;373.041;2.264
Model_99;0.45;0.53;1.26;0.46;1.21;0.80;1.96;0.49;0.74;2;1;2;1;2;2;2;2;1;;115.369;119.18;377.804;50.803;175.513;35.331;123.6;22.848;304.918;2.134
Model_100;0.51;0.54;1.35;0.53;1.09;0.77;1.85;0.55;0.74;2;1;1;2;1;2;1;2;1;;99.693;126.274;358.226;52.461;220.534;34.026;135.177;21.53;318.547;2.108
Model_101;0.57;0.60;1.57;0.67;0.92;0.85;1.91;0.47;0.63;1;1;2;1;2;2;1;2;2;;90.209;122.322;320.221;62.607;313.516;29.481;137.361;23.569;381.927;2.082
Model_102;0.48;0.65;1.42;0.52;1.01;0.87;1.95;0.42;0.79;1;1;1;1;1;1;1;1;1;;107.779;129.235;347.442;47.629;261.89;33.169;138.021;24.737;317.912;2.2
Model_103;0.34;0.63;1.39;0.64;0.97;1.05;1.85;0.62;0.81;1;1;1;2;1;2;1;1;1;;138.43;137.796;355;50.181;272.983;28.342;145.852;21.553;330.473;2.269
Model_104;0.48;0.53;1.56;0.64;0.95;0.88;1.92;0.57;0.74;2;2;1;2;2;2;1;1;1;;102.257;126.386;309.898;55.065;287.132;29.981;134.054;21.07;311.523;2.04
Model_105;0.57;0.51;1.33;0.64;1.23;0.94;1.74;0.52;0.67;2;2;1;1;2;1;1;1;1;;91.433;124.363;375.347;60.803;181.636;29.019;140.215;22.798;362.157;2.096
Model_106;0.53;0.60;1.60;0.58;1.27;1.04;1.63;0.51;0.74;2;2;1;1;1;1;2;2;1;;100.941;129.176;321.092;53.604;199.916;29.902;151.55;23.985;336.147;2.339
Model_107;0.55;0.61;1.55;0.60;1.06;0.79;1.82;0.36;0.69;1;2;2;2;2;1;2;2;2;;96.057;124.722;325.182;56.675;255.995;32.3;143.064;26.411;351.102;2.182
Model_108;0.55;0.53;1.46;0.66;1.08;0.93;1.61;0.36;0.72;1;2;1;1;2;2;1;1;2;;90.925;133.647;338.263;55.988;237.454;28.791;154.058;27.233;348.189;2.108
Model_109;0.49;0.67;1.50;0.62;1.01;0.74;1.64;0.36;0.57;1;2;2;1;2;1;1;1;2;;110.11;137.447;352.087;64.24;277.359;31.96;157.882;26.157;455.499;2.344
Model_110;0.55;0.60;1.33;0.67;1.28;0.99;1.71;0.53;0.57;2;2;1;2;2;1;1;2;1;;100.315;125.307;401.66;69.132;175.135;26.339;144.449;23.256;446.974;2.255
Model_111;0.58;0.50;1.30;0.70;1.04;0.79;1.74;0.40;0.56;2;2;2;1;1;1;2;1;1;;87.557;121.698;385.533;69.659;230.806;27.761;139.252;25.385;431.086;2.002
Model_112;0.49;0.70;1.37;0.50;1.01;0.75;1.62;0.63;0.60;2;2;1;2;2;1;1;1;1;;109.223;149.45;385.976;59.231;270.322;36.086;164.028;20.179;448.076;2.45
Model_113;0.40;0.58;1.26;0.47;0.99;0.74;1.91;0.41;0.71;2;2;1;1;1;2;1;1;2;;123.957;129.078;376.924;49.896;241.141;35.36;134.951;24.157;332.444;2.156
Model_114;0.43;0.52;1.40;0.60;0.92;0.98;1.75;0.56;0.63;1;1;2;1;2;1;2;1;1;;112.535;129.249;346.701;61.427;285.136;27.738;145.57;20.975;380.951;2.115
Model_115;0.51;0.55;1.43;0.61;0.96;0.89;1.85;0.39;0.72;2;1;1;2;1;2;1;2;2;;97.484;128.604;338.61;55.055;273.984;30.147;140.29;25.636;331.932;2.034
Model_116;0.57;0.50;1.56;0.44;1.28;1.09;1.62;0.57;0.75;2;1;1;1;2;1;2;2;1;;90.433;122.034;312.922;53.159;184.253;30.545;141.972;21.661;314.59;2.199
Model_117;0.52;0.57;1.59;0.59;0.94;1.04;1.92;0.51;0.56;1;1;1;2;1;2;1;1;2;;99.812;112.404;310.839;66.929;296.347;25.78;125.266;22.059;412.686;2.144
Model_118;0.44;0.51;1.45;0.53;1.17;0.94;1.93;0.58;0.63;1;1;2;1;1;1;2;2;2;;117.529;110.271;335.745;59.774;198.138;30.592;120.63;20.742;355.51;2.207
Model_119;0.56;0.53;1.33;0.66;1.04;1.00;1.95;0.50;0.65;1;1;2;2;1;1;2;1;2;;91.183;119.35;372.508;62.251;236.534;26.989;128.336;22.709;361.509;2.015
Model_120;0.61;0.59;1.45;0.73;0.94;0.91;1.79;0.38;0.73;1;1;2;1;2;2;1;1;1;;81.194;135.705;347.963;57.164;297.849;28.084;151.708;26.252;343.573;2.007
Model_121;0.54;0.51;1.27;0.62;0.92;0.82;1.71;0.53;0.56;1;2;2;1;2;1;1;1;2;;90.233;130.293;387.623;68.15;274.164;29.011;145.485;21.284;439.673;2.011
Model_122;0.63;0.64;1.24;0.71;1.23;0.94;1.89;0.50;0.72;1;1;1;1;1;1;2;2;2;;86.572;129.005;419.173;58.111;189.079;29.066;141.112;23.941;351.926;2.153
Model_123;0.59;0.62;1.50;0.65;1.24;0.81;1.63;0.65;0.73;1;2;2;2;1;2;2;2;1;;90.097;135.483;350.774;57.163;206.522;32.386;156.182;20.98;353.401;2.302
Model_124;0.51;0.55;1.30;0.76;1.11;0.91;1.85;0.38;0.77;2;1;1;1;2;1;1;2;2;;100.946;128.842;378.164;54.379;214.668;27.386;138.047;27.272;321.743;2.034
Model_125;0.47;0.70;1.49;0.47;1.03;1.02;1.95;0.55;0.65;2;2;2;2;2;1;2;2;2;;115.725;123.436;344.143;54.152;267.741;31.287;136.049;21.691;376.6;2.398
